avg_precipitation,date,province
22.25236766532922,2000-01-01,Araba/Álava
23.672783559746634,2000-02-01,Araba/Álava
50.38084278702209,2000-03-01,Araba/Álava
122.97346178129897,2000-04-01,Araba/Álava
69.82404936964095,2000-05-01,Araba/Álava
36.92663801706756,2000-06-01,Araba/Álava
61.42998839080219,2000-07-01,Araba/Álava
32.30644208639688,2000-08-01,Araba/Álava
39.399580439520136,2000-09-01,Araba/Álava
134.75590134218615,2000-10-01,Araba/Álava
175.11517546182205,2000-11-01,Araba/Álava
84.7282836717652,2000-12-01,Araba/Álava
21.39671372855944,2000-01-01,Albacete
0.33250964028650454,2000-02-01,Albacete
23.58318786796875,2000-03-01,Albacete
59.023141084548726,2000-04-01,Albacete
46.845095875232445,2000-05-01,Albacete
9.022472749976917,2000-06-01,Albacete
1.2107848094586928,2000-07-01,Albacete
1.7013247974110832,2000-08-01,Albacete
8.688921035390951,2000-09-01,Albacete
79.40781599693979,2000-10-01,Albacete
27.48999037070585,2000-11-01,Albacete
55.683741442459485,2000-12-01,Albacete
23.740549243712746,2000-01-01,Alacant/Alicante
0.0,2000-02-01,Alacant/Alicante
22.794657232918347,2000-03-01,Alacant/Alicante
22.7710275075402,2000-04-01,Alacant/Alicante
29.447332018051117,2000-05-01,Alacant/Alicante
9.899471619384538,2000-06-01,Alacant/Alicante
1.3398417125881583,2000-07-01,Alacant/Alicante
2.9475474522076337,2000-08-01,Alacant/Alicante
14.820770120416364,2000-09-01,Alacant/Alicante
95.89063881896735,2000-10-01,Alacant/Alicante
14.928577907794187,2000-11-01,Alacant/Alicante
21.807526589110385,2000-12-01,Alacant/Alicante
28.160019574259838,2000-01-01,Almería
0.0,2000-02-01,Almería
12.84554685588451,2000-03-01,Almería
45.12400599461708,2000-04-01,Almería
69.2376896256423,2000-05-01,Almería
1.5466264986542702,2000-06-01,Almería
0.0,2000-07-01,Almería
0.1527939197455346,2000-08-01,Almería
10.64754862980181,2000-09-01,Almería
84.16221403229756,2000-10-01,Almería
31.376162221678488,2000-11-01,Almería
84.78592947149495,2000-12-01,Almería
14.220382824624942,2000-01-01,Ávila
3.8301484340801455,2000-02-01,Ávila
35.9006645708146,2000-03-01,Ávila
107.34007720163955,2000-04-01,Ávila
69.66667197262126,2000-05-01,Ávila
16.093294599864688,2000-06-01,Ávila
13.082144136256916,2000-07-01,Ávila
3.1604998209240307,2000-08-01,Ávila
24.316534681045816,2000-09-01,Ávila
52.71171952723944,2000-10-01,Ávila
112.28407019777949,2000-11-01,Ávila
119.17367185323732,2000-12-01,Ávila
15.375270710689174,2000-01-01,Badajoz
6.837038961195864,2000-02-01,Badajoz
27.008418083020914,2000-03-01,Badajoz
147.83315764197005,2000-04-01,Badajoz
74.03854738985048,2000-05-01,Badajoz
4.12612022122009,2000-06-01,Badajoz
3.195980946800251,2000-07-01,Badajoz
0.6513487961869431,2000-08-01,Badajoz
11.18063085784705,2000-09-01,Badajoz
37.6402908119961,2000-10-01,Badajoz
113.04031437175485,2000-11-01,Badajoz
187.43655628819,2000-12-01,Badajoz
46.32188270276613,2000-01-01,Illes Balears
3.6673839612921744,2000-02-01,Illes Balears
21.026279066734492,2000-03-01,Illes Balears
35.16013928557455,2000-04-01,Illes Balears
11.312844790484762,2000-05-01,Illes Balears
13.252292082371504,2000-06-01,Illes Balears
3.996230942785978,2000-07-01,Illes Balears
5.763866609283095,2000-08-01,Illes Balears
61.52252957210117,2000-09-01,Illes Balears
88.52112106629106,2000-10-01,Illes Balears
58.71233877173078,2000-11-01,Illes Balears
52.782268476857475,2000-12-01,Illes Balears
21.957115073197325,2000-01-01,Barcelona
9.67030686728457,2000-02-01,Barcelona
52.708390635299075,2000-03-01,Barcelona
66.26950775916086,2000-04-01,Barcelona
48.70238511803526,2000-05-01,Barcelona
81.5775549895432,2000-06-01,Barcelona
26.78420011880834,2000-07-01,Barcelona
26.00089513129949,2000-08-01,Barcelona
59.10986516067605,2000-09-01,Barcelona
97.64515367776896,2000-10-01,Barcelona
49.33805040402971,2000-11-01,Barcelona
58.755580329896524,2000-12-01,Barcelona
15.874303832248103,2000-01-01,Burgos
10.599495837167616,2000-02-01,Burgos
33.64770095642655,2000-03-01,Burgos
97.68140485234915,2000-04-01,Burgos
55.47307569856645,2000-05-01,Burgos
25.677915836208115,2000-06-01,Burgos
37.70992755930235,2000-07-01,Burgos
14.657082048575829,2000-08-01,Burgos
33.428420653231036,2000-09-01,Burgos
80.98639719832005,2000-10-01,Burgos
131.58106947067262,2000-11-01,Burgos
82.25765511947695,2000-12-01,Burgos
11.592850778855842,2000-01-01,Cáceres
8.914056610239182,2000-02-01,Cáceres
33.00211154299289,2000-03-01,Cáceres
129.9297022626472,2000-04-01,Cáceres
71.99423976293275,2000-05-01,Cáceres
7.523656135060423,2000-06-01,Cáceres
6.518212466262633,2000-07-01,Cáceres
1.50902545926876,2000-08-01,Cáceres
17.427670677619272,2000-09-01,Cáceres
46.25048056368731,2000-10-01,Cáceres
134.0923171818243,2000-11-01,Cáceres
176.55255196451816,2000-12-01,Cáceres
49.90105312937667,2000-01-01,Cádiz
0.19078193492060605,2000-02-01,Cádiz
31.158878844649774,2000-03-01,Cádiz
116.7984866949199,2000-04-01,Cádiz
66.20046745120865,2000-05-01,Cádiz
0.025027737863547905,2000-06-01,Cádiz
0.0,2000-07-01,Cádiz
0.2121264482802525,2000-08-01,Cádiz
20.523208861565323,2000-09-01,Cádiz
70.03620473271612,2000-10-01,Cádiz
85.71669182778878,2000-11-01,Cádiz
