province,total,table_olive,olive_oil,year
Cantabria,0,0,0,2020
Araba/Álava,238,0,238,2020
Gipuzkoa,3,0,3,2020
Bizkaia,0,0,0,2020
Navarra,32667,0,32667,2020
La Rioja,18083,125,17958,2020
Huesca,16887,0,16887,2020
Teruel,17633,2028,15605,2020
Zaragoza,32684,735,31949,2020
Barcelona,3051,0,3051,2020
Girona,5406,5,5401,2020
Lleida,56855,33,56822,2020
Tarragona,93226,895,92331,2020
Illes Balears,4782,38,4744,2020
Ávila,3805,0,3805,2020
Burgos,9,0,9,2020
León,17,0,17,2020
Palencia,5,0,5,2020
Salamanca,2200,600,1600,2020
Segovia,3,3,0,2020
Soria,0,0,0,2020
Valladolid,1354,0,1354,2020
Zamora,450,0,450,2020
Madrid,32123,200,31923,2020
Albacete,67368,405,66963,2020
Ciudad Real,329634,0,329634,2020
Cuenca,34639,45,34594,2020
Guadalajara,14522,0,14522,2020
Toledo,171115,0,171115,2020
Alacant/Alicante,48307,850,47457,2020
Castelló/Castellón,42831,41,42790,2020
València/Valencia,42998,0,42998,2020
Murcia,58219,1341,56878,2020
Badajoz,310252,43864,266388,2020
Cáceres,67979,18973,49006,2020
Almería,65402,102,65300,2020
Cádiz,66054,69,65985,2020
Córdoba,1656602,69511,1587091,2020
Granada,575866,96,575770,2020
Huelva,75509,7990,67519,2020
Jaén,2711183,422,2710761,2020
Málaga,388482,64767,323715,2020
Sevilla,1020490,317700,702790,2020
Las Palmas,630,227,403,2020
Santa Cruz de Tenerife,106,8,98,2020
A Coruña,3,0,3,2021
Lugo,244,0,244,2021
Ourense,51,0,51,2021
Pontevedra,36,0,36,2021
Asturias,0,0,0,2021
Cantabria,0,0,0,2021
Araba/Álava,430,0,430,2021
Gipuzkoa,3,0,3,2021
Bizkaia,0,0,0,2021
Navarra,23633,0,23633,2021
La Rioja,13781,100,13681,2021
Huesca,7113,0,7113,2021
Teruel,34694,1075,33619,2021
Zaragoza,29419,647,28772,2021
Barcelona,3081,0,3081,2021
Girona,2466,0,2466,2021
Lleida,52564,34,52530,2021
Tarragona,118090,1052,117038,2021
Illes Balears,5202,48,5154,2021
Ávila,7198,0,7198,2021
Burgos,8,0,8,2021
León,21,0,21,2021
Palencia,5,0,5,2021
Salamanca,2591,300,2291,2021
Segovia,4,4,0,2021
Soria,5,0,5,2021
Valladolid,2548,0,2548,2021
Zamora,350,0,350,2021
Madrid,23899,100,23799,2021
Albacete,71425,403,71022,2021
Ciudad Real,275603,0,275603,2021
Cuenca,21465,33,21432,2021
Guadalajara,12057,0,12057,2021
Toledo,209449,0,209449,2021
Alacant/Alicante,45038,804,44234,2021
Castelló/Castellón,38052,46,38006,2021
València/Valencia,34263,0,34263,2021
Murcia,55970,960,55010,2021
Badajoz,681130,104228,576902,2021
Cáceres,203830,91940,111890,2021
Almería,72960,302,72658,2021
Cádiz,60775,55,60720,2021
Córdoba,1643420,80810,1562610,2021
Granada,568227,127,568100,2021
Huelva,75831,11980,63851,2021
Jaén,2402635,334,2402301,2021
Málaga,366384,63224,303160,2021
Sevilla,1093785,359224,734561,2021
Las Palmas,1156,339,817,2021
Santa Cruz de Tenerife,337,23,314,2021
