province,date,avg_pet,avg_precipitation,water_balance,spei
A Coruña,2000-01-01,262.3245703590266,57.0156310424304,-205.3089393165962,-0.45317775428562823
A Coruña,2000-02-01,375.3827169087507,59.52003959967206,-315.86267730907866,-0.305102900715666
A Coruña,2000-03-01,680.4718935140065,48.47664238093028,-631.9952511330763,-1.1003481831049222
A Coruña,2000-04-01,631.9148839079925,225.90288799170864,-406.0119959162838,2.312600354985053
A Coruña,2000-05-01,971.0689977879864,95.57274892879788,-875.4962488591885,1.0320676124045687
A Coruña,2000-06-01,1227.7975157393228,16.376761489318916,-1211.420754250004,-0.624413562504169
A Coruña,2000-07-01,1163.9211796371058,56.316549878571294,-1107.6046297585344,1.099384210701686
A Coruña,2000-08-01,1076.2377527186106,70.29774003434028,-1005.9400126842704,0.9087549749018226
A Coruña,2000-09-01,797.1361780129007,103.06284127647056,-694.0733367364302,1.4177023821158343
A Coruña,2000-10-01,525.5304499822107,165.26197658050629,-360.26847340170445,0.7148328789115879
A Coruña,2000-11-01,345.7412950330253,355.54577938651414,9.804484353488817,1.3347865097251836
A Coruña,2000-12-01,356.2077822636779,393.9589230745432,37.75114081086525,1.8688146188058101
A Coruña,2001-01-01,413.3894844308317,329.0003403096818,-84.38914412114991,1.6830834179677234
A Coruña,2001-02-01,450.75875910715104,131.08159698052498,-319.67716212662606,-0.35444631184281844
A Coruña,2001-03-01,604.7626571998703,387.1263863752381,-217.63627082463222,1.9969885457240002
A Coruña,2001-04-01,834.6125806301907,57.602046498677424,-777.0105341315133,-0.2874510493623556
A Coruña,2001-05-01,1041.5962689683972,91.88999489535468,-949.7062740730426,0.5433968167346466
A Coruña,2001-06-01,1235.9037387659123,20.208246322335132,-1215.6954924435772,-0.6565288980466215
A Coruña,2001-07-01,1131.1760793230933,79.5345801042585,-1051.6414992188347,1.5467182838222802
A Coruña,2001-08-01,1053.7432440793852,68.98651136170272,-984.7567327176826,1.068697120977673
A Coruña,2001-09-01,920.945024517766,62.89782201803643,-858.0472024997296,-0.43835974222429047
A Coruña,2001-10-01,551.8687410088629,181.86157130261265,-370.00716970625024,0.6187681305626838
A Coruña,2001-11-01,302.3629866815164,27.909732856899765,-274.45325382461664,-1.2050687565210634
A Coruña,2001-12-01,234.22863396599996,48.34847711417387,-185.8801568518261,-0.9835702276804598
A Coruña,2002-01-01,332.59085495073214,120.26517085092884,-212.3256840998033,-0.5928442371656572
A Coruña,2002-02-01,392.5038362182313,123.08965613253504,-269.4141800856963,0.30213813913478116
A Coruña,2002-03-01,625.9468034092839,89.29992884433922,-536.6468745649447,0.050250857580112426
A Coruña,2002-04-01,852.0579995978158,70.40835614955064,-781.6496434482651,-0.33513606138279345
A Coruña,2002-05-01,923.9490463594592,117.8116385911179,-806.1374077683413,1.417300805233111
A Coruña,2002-06-01,1079.011771621265,95.35784336473463,-983.6539282565304,0.9666916121870411
A Coruña,2002-07-01,1161.5045245719054,20.194749949726965,-1141.3097746221786,0.8025775882354336
A Coruña,2002-08-01,1034.4237628969636,33.28981236561633,-1001.1339505313473,0.9455689488759066
A Coruña,2002-09-01,782.0683558401782,98.04238402400732,-684.0259718161709,1.51228226043431
A Coruña,2002-10-01,603.2254861014435,259.86369050381296,-343.36179559763053,0.8776232827439961
A Coruña,2002-11-01,251.98893993534116,277.92540257088496,25.93646263554379,1.4089284380619609
A Coruña,2002-12-01,352.2969201973792,230.15332498027735,-122.14359521710188,0.30375932242333636
A Coruña,2003-01-01,406.9435704673071,233.40457407149583,-173.53899639581127,0.18644856244357375
A Coruña,2003-02-01,343.3408124120223,116.8800640400946,-226.46074837192768,0.8403158321141414
A Coruña,2003-03-01,650.5928813402013,104.16460933995386,-546.4282720002475,-0.05484098740722412
